date,regime,stocks,exposure
2014-01-31,Bear,"WMT, MCD, UPS, HD, PEP, JNJ, PG, KO, HON, WFC",1.0
2014-02-28,Bull,"META, LMT, BA, SPGI, AVGO, MCO, TMO, BAC, AMZN, BMY",1.0
2014-03-31,Bull,"META, AVGO, LMT, TMO, SPGI, BA, MCO, GOOGL, NVDA, MS",1.0
2014-04-30,Bull,"META, AVGO, LMT, TMO, SPGI, MS, BAC, BA, UNH, GOOGL",1.0
2014-06-30,Bull,"META, AVGO, AAPL, LMT, SPGI, MCO, TMO, ORCL, NVDA, ABBV",1.0
2014-07-31,Bull,"AVGO, META, AAPL, LMT, SPGI, MSFT, MCO, CAT, GOOGL, NVDA",1.0
2014-09-30,Bull,"AVGO, AAPL, META, LMT, MSFT, MCO, CAT, GOOGL, TMO, LLY",1.0
2014-10-31,Bull,"AVGO, META, AAPL, LMT, LLY, MRK, MSFT, MCO, UNH, WFC",1.0
2014-12-31,Bear,"PG, PEP, PFE, COST, UPS, MCD, DHR, WFC, NKE, GE",1.0
2015-03-31,Bull,"AVGO, AAPL, HD, UNH, COST, SPGI, NKE, TGT, META, SBUX",1.0
2015-04-30,Bull,"AVGO, UNH, AAPL, HD, SPGI, NKE, META, TGT, COST, SBUX",1.0
2015-06-30,Bear,"KO, PEP, PG, PFE, JNJ, XOM, WFC, LMT, COST, MCO",1.0
2015-07-31,Bull,"AVGO, UNH, NKE, TGT, LLY, HD, SBUX, AMZN, BMY, AAPL",1.0
2015-08-31,Crisis,"KO, LMT, PEP, JNJ, MMM, PG, WMT, MCD, COST, DHR",0.5
2015-09-30,Bear,"KO, PEP, LMT, JNJ, COST, PG, MMM, MCD, WMT, TGT",1.0
2015-11-30,Bull,"AMZN, SBUX, GOOGL, META, NVDA, NKE, AVGO, HD, UNH, LLY",1.0
2015-12-31,Bear,"JNJ, PEP, PG, KO, UPS, LMT, HD, DHR, GE, WFC",1.0
2016-02-29,Bear,"KO, PEP, MCD, PFE, PG, LMT, DHR, UPS, JNJ, WMT",1.0
2016-03-31,Bull,"NVDA, AMZN, GOOGL, META, MSFT, SBUX, NKE, MCD, GE, HD",1.0
2016-05-31,Bull,"NVDA, AMZN, META, MCD, GOOGL, LMT, HD, NKE, GE, JNJ",1.0
2016-06-30,Bear,"JNJ, LMT, UPS, DHR, PG, MMM, XOM, PEP, MCD, HON",1.0
2016-08-31,Bull,"NVDA, DHR, AMZN, TSM, META, JNJ, AVGO, MSFT, GE, LMT",1.0
2016-09-30,Bull,"NVDA, DHR, AMZN, AVGO, TSM, SPGI, META, CVX, CAT, MSFT",1.0
2016-10-31,Bear,"UPS, PEP, GE, JNJ, KO, JPM, GOOGL, SBUX, MMM, MCD",1.0
2016-11-30,Bull,"NVDA, DHR, TSM, AVGO, SPGI, UNH, WMT, META, CAT, PG",1.0
2017-01-31,Bull,"NVDA, DHR, MS, BAC, CAT, GS, JPM, CVX, UNH, DE",1.0
2017-02-28,Bull,"NVDA, BAC, DHR, MS, GS, JPM, AVGO, CAT, AMZN, BA",1.0
2017-03-31,Bull,"NVDA, BAC, DHR, MS, GS, JPM, BA, DE, AMZN, AVGO",1.0
2017-05-31,Bull,"NVDA, DHR, MS, BAC, AAPL, BA, AVGO, CAT, GS, TSM",1.0
2017-06-30,Bull,"NVDA, DHR, BAC, MS, AAPL, DE, AVGO, BA, GS, CAT",1.0
